wire [31:0] if_pc_w;
[445000][IF-SIGNAL] PC_NEXT=00000098 PC=0000009c | INSTR=00000013 | if_pc_bj_w=00000000 | if_bj_taken_w=0
[455000][IF-SIGNAL] PC_NEXT=0000009c PC=000000a0 | INSTR=00115463 | if_pc_bj_w=00000000 | if_bj_taken_w=0
[465000][IF-SIGNAL] PC_NEXT=000000a0 PC=0000009c | INSTR=00000013 | if_pc_bj_w=0000009c | if_bj_taken_w=1
[475000][IF-SIGNAL] PC_NEXT=0000009c PC=000000a0 | INSTR=00115463 | if_pc_bj_w=00000000 | if_bj_taken_w=0
[485000][IF-SIGNAL] PC_NEXT=000000a0 PC=000000a4 | INSTR=00000013 | if_pc_bj_w=00000000 | if_bj_taken_w=0
[495000][IF-SIGNAL] PC_NEXT=000000a4 PC=000000a8 | INSTR=0020e463 | if_pc_bj_w=00000000 | if_bj_taken_w=0
[505000][IF-SIGNAL] PC_NEXT=000000a8 PC=000000a4 | INSTR=00000013 | if_pc_bj_w=000000a4 | if_bj_taken_w=1
[515000][IF-SIGNAL] PC_NEXT=000000a4 PC=000000a8 | INSTR=0020e463 | if_pc_bj_w=00000000 | if_bj_taken_w=0
[525000][IF-SIGNAL] PC_NEXT=000000a8 PC=000000ac | INSTR=00000013 | if_pc_bj_w=00000000 | if_bj_taken_w=0
[535000][IF-SIGNAL] PC_NEXT=000000ac PC=000000b0 | INSTR=00117463 | if_pc_bj_w=00000000 | if_bj_taken_w=0
[545000][IF-SIGNAL] PC_NEXT=000000b0 PC=000000ac | INSTR=00000013 | if_pc_bj_w=000000ac | if_bj_taken_w=1
[555000][IF-SIGNAL] PC_NEXT=000000ac PC=000000b0 | INSTR=00117463 | if_pc_bj_w=00000000 | if_bj_taken_w=0
[565000][IF-SIGNAL] PC_NEXT=000000b0 PC=000000b4 | INSTR=00000013 | if_pc_bj_w=00000000 | if_bj_taken_w=0
[575000][IF-SIGNAL] PC_NEXT=000000b4 PC=000000b8 | INSTR=00800fef | if_pc_bj_w=00000000 | if_bj_taken_w=0
[585000][IF-SIGNAL] PC_NEXT=000000b8 PC=000000b4 | INSTR=00000013 | if_pc_bj_w=000000b4 | if_bj_taken_w=1
[595000][IF-SIGNAL] PC_NEXT=000000b4 PC=000000b8 | INSTR=00800fef | if_pc_bj_w=00000000 | if_bj_taken_w=0
